Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P8 - DSP [Pa],P10 - USP [Pa]
DP 111,535.74999999999841,0.94200000000000639,0.17366666666666675,10.4977,2.18887,7.43773
DP 112,999.25000000000432,0.34466666666666679,0.17433333333333345,9.21962,1.26579,5.8756
DP 113,943.75000000000728,0.44200000000000012,0.1750000000000001,9.28585,1.34163,5.98456
DP 114,367.75000000000011,0.96200000000000685,0.17566666666666678,11.8106,3.04972,8.95505
DP 115,772.7500000000033,0.77533333333333587,0.17633333333333345,9.56461,1.60761,6.38992
DP 116,612.24999999999966,0.98466666666667391,0.17700000000000013,10.1077,1.95798,7.01184
DP 117,838.75000000000489,0.36200000000000032,0.17766666666666678,9.53923,1.47067,6.24028
DP 118,532.74999999999841,0.76200000000000223,0.17833333333333345,10.5331,2.19554,7.46208
DP 119,243.25000000000006,0.41800000000000037,0.17900000000000013,13.8276,4.45984,11.3736
DP 120,118.75,0.70866666666666767,0.17966666666666681,19.2801,8.96079,18.6008
DP 121,456.24999999999926,0.41266666666666707,0.18033333333333346,11.1152,2.49975,8.05733
DP 122,627.25,0.80333333333333656,0.18100000000000016,10.0594,1.90436,6.93407
DP 123,181.74999999999991,0.33266666666666678,0.18166666666666681,15.6633,5.9111,13.7427
DP 124,705.25000000000182,0.71000000000000107,0.18233333333333349,9.78444,1.73448,6.6267
DP 125,630.25,0.87933333333333819,0.18300000000000016,10.0298,1.91263,6.92751
DP 126,895.75000000000614,0.76066666666666882,0.18366666666666684,9.2387,1.42626,6.04561
DP 127,595.74999999999932,0.8846666666666716,0.18433333333333349,10.1797,2.0113,7.10114
DP 128,519.24999999999864,0.28466666666666657,0.18500000000000016,10.7434,2.21102,7.58274
DP 129,376.75,0.68200000000000038,0.18566666666666684,11.7279,2.98294,8.8469
DP 130,304.75000000000045,0.2553333333333333,0.18633333333333352,12.7302,3.59738,9.9625
DP 131,793.75000000000387,0.98333333333334072,0.18700000000000017,9.438,1.58744,6.30644
DP 132,799.750000000004,0.21933333333333335,0.18766666666666687,9.66869,1.52786,6.3622
DP 133,553.74999999999829,0.218,0.18833333333333352,10.5685,2.09166,7.37589
DP 134,694.75000000000159,0.22200000000000003,0.1890000000000002,9.98098,1.72068,6.71117
DP 135,523.74999999999852,0.84200000000000408,0.18966666666666687,10.5511,2.23475,7.51031
DP 136,409.74999999999966,0.58066666666666533,0.19033333333333355,11.4302,2.76663,8.48174
DP 137,244.75000000000006,0.83266666666667044,0.1910000000000002,13.7265,4.44538,11.3086
DP 138,865.75000000000546,0.92866666666667275,0.19166666666666687,9.24779,1.47746,6.10135
DP 139,432.24999999999949,0.72733333333333472,0.19233333333333355,11.1984,2.64013,8.23932
DP 140,378.25000000000006,0.31933333333333336,0.19300000000000023,11.8022,2.946,8.84711
DP 141,217.74999999999989,0.67666666666666686,0.19366666666666688,14.409,4.9695,12.174
DP 142,574.74999999999875,0.30066666666666658,0.19433333333333358,10.4396,2.02369,7.2435
DP 143,846.250000000005,0.30733333333333324,0.19500000000000023,9.52352,1.45073,6.21248
DP 144,822.25000000000443,0.446,0.19566666666666691,9.51451,1.51554,6.27279
DP 145,792.25000000000375,0.75133333333333518,0.19633333333333358,9.46705,1.58624,6.31977
DP 146,153.24999999999994,0.80066666666666975,0.19700000000000026,16.9033,6.97745,15.4291
DP 147,735.2500000000025,0.87533333333333818,0.19766666666666691,9.60971,1.69127,6.49613
DP 148,751.75000000000284,0.50599999999999945,0.19833333333333358,9.67417,1.6304399999999999,6.46753
DP 149,261.25000000000017,0.40600000000000042,0.19900000000000026,13.433,4.16788,10.8844
DP 150,982.75000000000819,0.680666666666667,0.19966666666666694,9.0462,1.32797,5.85107
DP 151,742.75000000000261,0.35800000000000026,0.20033333333333359,9.7712,1.63374,6.51934
DP 152,330.25000000000051,0.28333333333333327,0.20100000000000026,12.3571,3.33971,9.51826
DP 153,130.75,0.90333333333333887,0.20166666666666688,18.3287,8.16153,17.3259
DP 154,573.24999999999875,0.7246666666666679,0.20233333333333359,10.2811,2.07137,7.21193
DP 155,663.2500000000008,0.26733333333333331,0.20300000000000021,10.0706,1.78431,6.81961
DP 156,357.25000000000023,0.55533333333333224,0.20366666666666688,11.9424,3.13036,9.10155
DP 157,256.75000000000011,0.30466666666666659,0.20433333333333353,13.5465,4.24153,11.0148
DP 158,901.75000000000637,0.823333333333337,0.20500000000000021,9.15006,1.44107,6.0161
DP 159,303.25000000000045,0.59933333333333183,0.20566666666666686,12.6422,3.63824,9.95936
DP 160,141.24999999999997,0.79266666666666952,0.20633333333333354,17.5991,7.55481,16.3544
DP 161,691.75000000000148,0.57933333333333192,0.20700000000000018,9.81835,1.77018,6.67935
DP 162,342.2500000000004,0.26866666666666661,0.20766666666666686,12.2069,3.23923,9.34269
DP 163,336.25000000000045,0.8153333333333368,0.20833333333333348,12.1503,3.30402,9.37916
DP 164,570.24999999999864,0.24066666666666664,0.20900000000000019,10.4667,2.05346,7.28684
DP 165,177.24999999999991,0.52866666666666584,0.20966666666666681,15.7759,6.05961,13.9476
DP 166,288.25000000000034,0.74733333333333518,0.21033333333333348,12.8597,3.81337,10.2432
DP 167,687.25000000000136,0.80200000000000315,0.21100000000000013,9.75962,1.78632,6.66613
DP 168,616.74999999999977,0.73133333333333472,0.21166666666666681,10.0567,1.95403,6.9824
DP 169,613.74999999999966,0.67800000000000016,0.21233333333333346,10.081,1.95541,6.9959
DP 170,621.24999999999989,0.51666666666666594,0.21300000000000013,10.106,1.92737,6.98039
DP 171,723.25000000000216,0.56466666666666554,0.21366666666666678,9.7,1.70532,6.55532
DP 172,544.74999999999829,0.57133333333333214,0.21433333333333346,10.4477,2.15463,7.37849
DP 173,661.7500000000008,0.25799999999999995,0.21500000000000008,10.064,1.81215,6.84416
DP 174,277.75000000000023,0.58333333333333193,0.21566666666666678,13.0558,3.94789,10.4758
DP 175,856.75000000000523,0.871333333333338,0.21633333333333341,9.2181,1.50498,6.11403
DP 176,477.24999999999903,0.75666666666666882,0.21700000000000008,10.8135,2.42895,7.83569
DP 177,475.749999999999,0.49799999999999955,0.21766666666666673,10.8887,2.42077,7.86512
DP 178,649.75000000000045,0.54066666666666574,0.21833333333333341,9.96681,1.86462,6.84802
DP 179,345.25000000000034,0.39400000000000052,0.21900000000000006,12.1108,3.22764,9.28302
DP 180,352.75000000000023,0.60999999999999865,0.21966666666666673,11.9562,3.16374,9.14186
DP 181,280.75000000000028,0.61666666666666548,0.22033333333333338,12.99,3.89734,10.3923
DP 182,384.24999999999994,0.71933333333333449,0.22100000000000006,11.5935,2.93111,8.72786
DP 183,154.74999999999994,0.77666666666666928,0.22166666666666668,16.8074,6.91706,15.3208
DP 184,187.74999999999989,0.99933333333333718,0.22233333333333338,15.373,5.73026,13.4167
DP 185,457.74999999999915,0.28999999999999992,0.223,11.0956,2.47246,8.02028
DP 186,333.25000000000045,0.63933333333333264,0.22366666666666668,12.1876,3.33472,9.42852
DP 187,994.75000000000853,0.45399999999999996,0.22433333333333333,9.06953,1.31084,5.8456
DP 188,301.75000000000045,0.44333333333333336,0.225,12.6769,3.65466,9.99313
DP 189,102.25,0.24333333333333332,0.22566666666666665,20.971,10.4067,20.8922
DP 190,448.74999999999926,0.21666666666666667,0.22633333333333333,11.1951,2.52828,8.1258
DP 191,385.74999999999989,0.71400000000000108,0.22699999999999998,11.5707,2.92799,8.71335
